,index,building,time,device_count,day_name,month,day,year,timestamp,traffic_diff,index_hour
0,41,UREC,00:00:06,0,Wednesday,9,22,2021,2021-09-22 00:00:06,0.0,0
1,30466,UREC,01:00:01,114,Wednesday,9,22,2021,2021-09-22 01:00:01,114.0,1
2,79514,UREC,02:00:07,227,Wednesday,9,22,2021,2021-09-22 02:00:07,113.0,2
3,123013,UREC,03:00:23,278,Wednesday,9,22,2021,2021-09-22 03:00:23,51.0,3
4,163494,UREC,04:00:09,336,Wednesday,9,22,2021,2021-09-22 04:00:09,58.0,4
5,206003,UREC,05:00:31,388,Wednesday,9,22,2021,2021-09-22 05:00:31,52.0,5
6,267964,UREC,06:00:00,902,Wednesday,9,22,2021,2021-09-22 06:00:00,514.0,6
7,354636,UREC,07:00:00,2891,Wednesday,9,22,2021,2021-09-22 07:00:00,1989.0,7
8,602615,UREC,08:00:00,8222,Wednesday,9,22,2021,2021-09-22 08:00:00,5331.0,8
9,1038461,UREC,09:00:00,14873,Wednesday,9,22,2021,2021-09-22 09:00:00,6651.0,9
10,1624502,UREC,10:00:00,22686,Wednesday,9,22,2021,2021-09-22 10:00:00,7813.0,10
11,2286315,UREC,11:00:00,32036,Wednesday,9,22,2021,2021-09-22 11:00:00,9350.0,11
12,3128579,UREC,12:00:00,44674,Wednesday,9,22,2021,2021-09-22 12:00:00,12638.0,12
13,4109227,UREC,13:00:00,57264,Wednesday,9,22,2021,2021-09-22 13:00:00,12590.0,13
14,5036008,UREC,14:00:00,69819,Wednesday,9,22,2021,2021-09-22 14:00:00,12555.0,14
15,5913569,UREC,15:00:00,81612,Wednesday,9,22,2021,2021-09-22 15:00:00,11793.0,15
16,6720250,UREC,16:00:00,93597,Wednesday,9,22,2021,2021-09-22 16:00:00,11985.0,16
17,7235130,UREC,17:00:00,104611,Wednesday,9,22,2021,2021-09-22 17:00:00,11014.0,17
18,7927006,UREC,18:00:00,119104,Wednesday,9,22,2021,2021-09-22 18:00:00,14493.0,18
19,8428892,UREC,19:00:00,131729,Wednesday,9,22,2021,2021-09-22 19:00:00,12625.0,19
20,8844014,UREC,20:00:00,142899,Wednesday,9,22,2021,2021-09-22 20:00:00,11170.0,20
21,9185228,UREC,21:00:00,155667,Wednesday,9,22,2021,2021-09-22 21:00:00,12768.0,21
22,9383138,UREC,22:00:00,165015,Wednesday,9,22,2021,2021-09-22 22:00:00,9348.0,22
23,9513724,UREC,23:00:00,169878,Wednesday,9,22,2021,2021-09-22 23:00:00,4863.0,23
