,index,building,time,device_count,day_name,month,day,year,timestamp,traffic_diff,index_hour
0,23,UREC,00:00:00,1,Thursday,9,23,2021,2021-09-23 00:00:00,0.0,0
1,41713,UREC,01:00:19,297,Thursday,9,23,2021,2021-09-23 01:00:19,296.0,1
2,97786,UREC,02:00:10,585,Thursday,9,23,2021,2021-09-23 02:00:10,288.0,2
3,146816,UREC,03:00:16,684,Thursday,9,23,2021,2021-09-23 03:00:16,99.0,3
4,194110,UREC,04:00:35,790,Thursday,9,23,2021,2021-09-23 04:00:35,106.0,4
5,235922,UREC,05:00:03,914,Thursday,9,23,2021,2021-09-23 05:00:03,124.0,5
6,282848,UREC,06:00:02,1448,Thursday,9,23,2021,2021-09-23 06:00:02,534.0,6
7,349615,UREC,07:00:01,2570,Thursday,9,23,2021,2021-09-23 07:00:01,1122.0,7
8,484001,UREC,08:00:00,5328,Thursday,9,23,2021,2021-09-23 08:00:00,2758.0,8
9,666740,UREC,09:00:00,9084,Thursday,9,23,2021,2021-09-23 09:00:00,3756.0,9
10,890701,UREC,10:00:00,13141,Thursday,9,23,2021,2021-09-23 10:00:00,4057.0,10
11,1166700,UREC,11:00:01,17868,Thursday,9,23,2021,2021-09-23 11:00:01,4727.0,11
12,1522262,UREC,12:00:00,24505,Thursday,9,23,2021,2021-09-23 12:00:00,6637.0,12
13,1966994,UREC,13:00:00,32438,Thursday,9,23,2021,2021-09-23 13:00:00,7933.0,13
14,2497247,UREC,14:00:00,41676,Thursday,9,23,2021,2021-09-23 14:00:00,9238.0,14
15,2961462,UREC,15:00:00,49911,Thursday,9,23,2021,2021-09-23 15:00:00,8235.0,15
16,3355345,UREC,16:00:00,58604,Thursday,9,23,2021,2021-09-23 16:00:00,8693.0,16
17,3719503,UREC,17:00:00,67445,Thursday,9,23,2021,2021-09-23 17:00:00,8841.0,17
18,4099225,UREC,18:00:00,76624,Thursday,9,23,2021,2021-09-23 18:00:00,9179.0,18
19,4486779,UREC,19:00:00,85616,Thursday,9,23,2021,2021-09-23 19:00:00,8992.0,19
20,4871395,UREC,20:00:00,95188,Thursday,9,23,2021,2021-09-23 20:00:00,9572.0,20
21,5145534,UREC,21:00:00,104193,Thursday,9,23,2021,2021-09-23 21:00:00,9005.0,21
22,5316096,UREC,22:00:00,109977,Thursday,9,23,2021,2021-09-23 22:00:00,5784.0,22
23,5437746,UREC,23:00:00,113540,Thursday,9,23,2021,2021-09-23 23:00:00,3563.0,23
0,8,Stu,00:00:00,1,Thursday,9,23,2021,2021-09-23 00:00:00,0.0,0
1,41461,Stu,01:00:04,1072,Thursday,9,23,2021,2021-09-23 01:00:04,1071.0,1
2,97679,Stu,02:00:00,1716,Thursday,9,23,2021,2021-09-23 02:00:00,644.0,2
3,146632,Stu,03:00:00,2236,Thursday,9,23,2021,2021-09-23 03:00:00,520.0,3
4,193745,Stu,04:00:02,2672,Thursday,9,23,2021,2021-09-23 04:00:02,436.0,4
5,236557,Stu,05:00:56,3001,Thursday,9,23,2021,2021-09-23 05:00:56,329.0,5
6,282823,Stu,06:00:01,3180,Thursday,9,23,2021,2021-09-23 06:00:01,179.0,6
7,349595,Stu,07:00:00,3747,Thursday,9,23,2021,2021-09-23 07:00:00,567.0,7
8,483975,Stu,08:00:00,6056,Thursday,9,23,2021,2021-09-23 08:00:00,2309.0,8
9,666826,Stu,09:00:01,9829,Thursday,9,23,2021,2021-09-23 09:00:01,3773.0,9
10,890706,Stu,10:00:00,14465,Thursday,9,23,2021,2021-09-23 10:00:00,4636.0,10
11,1166555,Stu,11:00:00,21530,Thursday,9,23,2021,2021-09-23 11:00:00,7065.0,11
12,1522322,Stu,12:00:00,30183,Thursday,9,23,2021,2021-09-23 12:00:00,8653.0,12
13,1967013,Stu,13:00:00,41316,Thursday,9,23,2021,2021-09-23 13:00:00,11133.0,13
14,2497261,Stu,14:00:00,59277,Thursday,9,23,2021,2021-09-23 14:00:00,17961.0,14
15,2961418,Stu,15:00:00,73167,Thursday,9,23,2021,2021-09-23 15:00:00,13890.0,15
16,3355362,Stu,16:00:00,84031,Thursday,9,23,2021,2021-09-23 16:00:00,10864.0,16
17,3719519,Stu,17:00:00,94267,Thursday,9,23,2021,2021-09-23 17:00:00,10236.0,17
18,4099195,Stu,18:00:00,103805,Thursday,9,23,2021,2021-09-23 18:00:00,9538.0,18
19,4486755,Stu,19:00:00,111723,Thursday,9,23,2021,2021-09-23 19:00:00,7918.0,19
20,4871381,Stu,20:00:00,119464,Thursday,9,23,2021,2021-09-23 20:00:00,7741.0,20
21,5145525,Stu,21:00:00,125801,Thursday,9,23,2021,2021-09-23 21:00:00,6337.0,21
22,5316092,Stu,22:00:00,129739,Thursday,9,23,2021,2021-09-23 22:00:00,3938.0,22
23,5437762,Stu,23:00:00,132224,Thursday,9,23,2021,2021-09-23 23:00:00,2485.0,23
0,0,Atki,00:00:00,0,Thursday,9,23,2021,2021-09-23 00:00:00,0.0,0
1,41398,Atki,01:00:00,575,Thursday,9,23,2021,2021-09-23 01:00:00,575.0,1
2,97673,Atki,02:00:00,642,Thursday,9,23,2021,2021-09-23 02:00:00,67.0,2
3,193706,Atki,03:00:00,780,Thursday,9,23,2021,2021-09-23 03:00:00,138.0,3
4,235891,Atki,04:00:00,842,Thursday,9,23,2021,2021-09-23 04:00:00,62.0,4
5,235879,Atki,05:00:00,842,Thursday,9,23,2021,2021-09-23 05:00:00,0.0,5
6,282803,Atki,06:00:00,852,Thursday,9,23,2021,2021-09-23 06:00:00,10.0,6
7,349600,Atki,07:00:00,924,Thursday,9,23,2021,2021-09-23 07:00:00,72.0,7
8,483999,Atki,08:00:00,1172,Thursday,9,23,2021,2021-09-23 08:00:00,248.0,8
9,666725,Atki,09:00:00,1772,Thursday,9,23,2021,2021-09-23 09:00:00,600.0,9
10,1166510,Atki,10:00:00,3553,Thursday,9,23,2021,2021-09-23 10:00:00,1781.0,10
11,1166569,Atki,11:00:00,3553,Thursday,9,23,2021,2021-09-23 11:00:00,0.0,11
12,1522279,Atki,12:00:00,4973,Thursday,9,23,2021,2021-09-23 12:00:00,1420.0,12
13,1967078,Atki,13:00:00,7231,Thursday,9,23,2021,2021-09-23 13:00:00,2258.0,13
14,2497135,Atki,14:00:00,10827,Thursday,9,23,2021,2021-09-23 14:00:00,3596.0,14
15,2961409,Atki,15:00:00,13809,Thursday,9,23,2021,2021-09-23 15:00:00,2982.0,15
16,3355355,Atki,16:00:00,16475,Thursday,9,23,2021,2021-09-23 16:00:00,2666.0,16
17,3719520,Atki,17:00:00,18741,Thursday,9,23,2021,2021-09-23 17:00:00,2266.0,17
18,4099184,Atki,18:00:00,20525,Thursday,9,23,2021,2021-09-23 18:00:00,1784.0,18
19,4486827,Atki,19:00:00,22293,Thursday,9,23,2021,2021-09-23 19:00:00,1768.0,19
20,4871492,Atki,20:00:00,24047,Thursday,9,23,2021,2021-09-23 20:00:00,1754.0,20
21,5145496,Atki,21:00:00,25311,Thursday,9,23,2021,2021-09-23 21:00:00,1264.0,21
22,5437739,Atki,22:00:00,26573,Thursday,9,23,2021,2021-09-23 22:00:00,1262.0,22
23,5437756,Atki,23:00:00,26573,Thursday,9,23,2021,2021-09-23 23:00:00,0.0,23
0,176,Wood,00:00:06,1,Thursday,9,23,2021,2021-09-23 00:00:06,0.0,0
1,41528,Wood,01:00:08,220,Thursday,9,23,2021,2021-09-23 01:00:08,219.0,1
2,97892,Wood,02:00:16,427,Thursday,9,23,2021,2021-09-23 02:00:16,207.0,2
3,146915,Wood,03:00:25,543,Thursday,9,23,2021,2021-09-23 03:00:25,116.0,3
4,194014,Wood,04:00:27,772,Thursday,9,23,2021,2021-09-23 04:00:27,229.0,4
5,235985,Wood,05:00:09,879,Thursday,9,23,2021,2021-09-23 05:00:09,107.0,5
6,282955,Wood,06:00:09,1134,Thursday,9,23,2021,2021-09-23 06:00:09,255.0,6
7,349845,Wood,07:00:09,1483,Thursday,9,23,2021,2021-09-23 07:00:09,349.0,7
8,484017,Wood,08:00:01,2338,Thursday,9,23,2021,2021-09-23 08:00:01,855.0,8
9,666803,Wood,09:00:01,3484,Thursday,9,23,2021,2021-09-23 09:00:01,1146.0,9
10,890822,Wood,10:00:03,6288,Thursday,9,23,2021,2021-09-23 10:00:03,2804.0,10
11,1166527,Wood,11:00:00,8783,Thursday,9,23,2021,2021-09-23 11:00:00,2495.0,11
12,1522351,Wood,12:00:01,11527,Thursday,9,23,2021,2021-09-23 12:00:01,2744.0,12
13,1967136,Wood,13:00:00,14414,Thursday,9,23,2021,2021-09-23 13:00:00,2887.0,13
14,2497412,Wood,14:00:01,17733,Thursday,9,23,2021,2021-09-23 14:00:01,3319.0,14
15,2961503,Wood,15:00:01,20445,Thursday,9,23,2021,2021-09-23 15:00:01,2712.0,15
16,3355393,Wood,16:00:00,23099,Thursday,9,23,2021,2021-09-23 16:00:00,2654.0,16
17,3719934,Wood,17:00:06,24885,Thursday,9,23,2021,2021-09-23 17:00:06,1786.0,17
18,4099187,Wood,18:00:00,26424,Thursday,9,23,2021,2021-09-23 18:00:00,1539.0,18
19,4487116,Wood,19:00:03,27802,Thursday,9,23,2021,2021-09-23 19:00:03,1378.0,19
20,4872121,Wood,20:00:06,29034,Thursday,9,23,2021,2021-09-23 20:00:06,1232.0,20
21,5145468,Wood,21:00:00,30077,Thursday,9,23,2021,2021-09-23 21:00:00,1043.0,21
22,5317790,Wood,22:00:43,30712,Thursday,9,23,2021,2021-09-23 22:00:43,635.0,22
23,5438482,Wood,23:00:17,31081,Thursday,9,23,2021,2021-09-23 23:00:17,369.0,23
0,34,SVDH,00:00:01,1,Thursday,9,23,2021,2021-09-23 00:00:01,0.0,0
1,41391,SVDH,01:00:00,601,Thursday,9,23,2021,2021-09-23 01:00:00,600.0,1
2,97708,SVDH,02:00:03,878,Thursday,9,23,2021,2021-09-23 02:00:03,277.0,2
3,146926,SVDH,03:00:25,1000,Thursday,9,23,2021,2021-09-23 03:00:25,122.0,3
4,194164,SVDH,04:00:39,1103,Thursday,9,23,2021,2021-09-23 04:00:39,103.0,4
5,236124,SVDH,05:00:21,1157,Thursday,9,23,2021,2021-09-23 05:00:21,54.0,5
6,283646,SVDH,06:00:46,1242,Thursday,9,23,2021,2021-09-23 06:00:46,85.0,6
7,350642,SVDH,07:00:44,1415,Thursday,9,23,2021,2021-09-23 07:00:44,173.0,7
8,484004,SVDH,08:00:01,2274,Thursday,9,23,2021,2021-09-23 08:00:01,859.0,8
9,666755,SVDH,09:00:00,3719,Thursday,9,23,2021,2021-09-23 09:00:00,1445.0,9
10,890665,SVDH,10:00:00,6122,Thursday,9,23,2021,2021-09-23 10:00:00,2403.0,10
11,1166519,SVDH,11:00:00,9813,Thursday,9,23,2021,2021-09-23 11:00:00,3691.0,11
12,1522303,SVDH,12:00:00,15025,Thursday,9,23,2021,2021-09-23 12:00:00,5212.0,12
13,1967101,SVDH,13:00:00,23760,Thursday,9,23,2021,2021-09-23 13:00:00,8735.0,13
14,2497194,SVDH,14:00:00,31185,Thursday,9,23,2021,2021-09-23 14:00:00,7425.0,14
