,index,building,time,device_count,day_name,month,day,year,timestamp,traffic_diff,index_hour
0,129,UREC,00:00:07,0,Wednesday,9,8,2021,2021-09-08 00:00:07,0.0,0
1,47884,UREC,01:00:06,183,Wednesday,9,8,2021,2021-09-08 01:00:06,183.0,1
2,77306,UREC,02:00:02,353,Wednesday,9,8,2021,2021-09-08 02:00:02,170.0,2
3,99822,UREC,03:00:04,436,Wednesday,9,8,2021,2021-09-08 03:00:04,83.0,3
4,120391,UREC,04:00:22,507,Wednesday,9,8,2021,2021-09-08 04:00:22,71.0,4
5,141196,UREC,05:01:03,617,Wednesday,9,8,2021,2021-09-08 05:01:03,110.0,5
6,187139,UREC,06:00:01,1474,Wednesday,9,8,2021,2021-09-08 06:00:01,857.0,6
7,275477,UREC,07:00:00,4683,Wednesday,9,8,2021,2021-09-08 07:00:00,3209.0,7
8,518102,UREC,08:00:00,9441,Wednesday,9,8,2021,2021-09-08 08:00:00,4758.0,8
9,979831,UREC,09:00:00,15696,Wednesday,9,8,2021,2021-09-08 09:00:00,6255.0,9
10,1629195,UREC,10:00:00,23124,Wednesday,9,8,2021,2021-09-08 10:00:00,7428.0,10
11,2372811,UREC,11:00:00,32052,Wednesday,9,8,2021,2021-09-08 11:00:00,8928.0,11
12,3327665,UREC,12:00:00,43273,Wednesday,9,8,2021,2021-09-08 12:00:00,11221.0,12
13,4492384,UREC,13:00:00,56178,Wednesday,9,8,2021,2021-09-08 13:00:00,12905.0,13
14,5564999,UREC,14:00:00,68829,Wednesday,9,8,2021,2021-09-08 14:00:00,12651.0,14
15,6594387,UREC,15:00:00,81660,Wednesday,9,8,2021,2021-09-08 15:00:00,12831.0,15
16,7518728,UREC,16:00:00,94003,Wednesday,9,8,2021,2021-09-08 16:00:00,12343.0,16
17,8081434,UREC,17:00:00,105265,Wednesday,9,8,2021,2021-09-08 17:00:00,11262.0,17
18,8907474,UREC,18:00:00,118897,Wednesday,9,8,2021,2021-09-08 18:00:00,13632.0,18
19,9510936,UREC,19:00:00,130905,Wednesday,9,8,2021,2021-09-08 19:00:00,12008.0,19
20,10060108,UREC,20:00:00,144469,Wednesday,9,8,2021,2021-09-08 20:00:00,13564.0,20
21,10423116,UREC,21:00:00,157718,Wednesday,9,8,2021,2021-09-08 21:00:00,13249.0,21
22,10640280,UREC,22:00:00,168066,Wednesday,9,8,2021,2021-09-08 22:00:00,10348.0,22
23,10786101,UREC,23:00:00,173477,Wednesday,9,8,2021,2021-09-08 23:00:00,5411.0,23
0,39,Stu,00:00:03,0,Wednesday,9,8,2021,2021-09-08 00:00:03,0.0,0
1,47845,Stu,01:00:01,1493,Wednesday,9,8,2021,2021-09-08 01:00:01,1493.0,1
2,77301,Stu,02:00:02,2080,Wednesday,9,8,2021,2021-09-08 02:00:02,587.0,2
3,99793,Stu,03:00:03,2557,Wednesday,9,8,2021,2021-09-08 03:00:03,477.0,3
4,120343,Stu,04:00:13,2771,Wednesday,9,8,2021,2021-09-08 04:00:13,214.0,4
5,140791,Stu,05:00:00,3069,Wednesday,9,8,2021,2021-09-08 05:00:00,298.0,5
6,187132,Stu,06:00:00,4116,Wednesday,9,8,2021,2021-09-08 06:00:00,1047.0,6
7,275509,Stu,07:00:00,5654,Wednesday,9,8,2021,2021-09-08 07:00:00,1538.0,7
