,index,building,time,device_count,day_name,month,day,year,timestamp,traffic_diff,index_hour
0,46,UREC,00:00:06,0,Saturday,9,18,2021,2021-09-18 00:00:06,0.0,0
1,41393,UREC,01:00:21,243,Saturday,9,18,2021,2021-09-18 01:00:21,243.0,1
2,99808,UREC,02:00:04,437,Saturday,9,18,2021,2021-09-18 02:00:04,194.0,2
3,156557,UREC,03:02:18,602,Saturday,9,18,2021,2021-09-18 03:02:18,165.0,3
4,199632,UREC,04:00:11,648,Saturday,9,18,2021,2021-09-18 04:00:11,46.0,4
5,242030,UREC,05:00:53,730,Saturday,9,18,2021,2021-09-18 05:00:53,82.0,5
6,283783,UREC,06:00:01,805,Saturday,9,18,2021,2021-09-18 06:00:01,75.0,6
7,322480,UREC,07:00:53,854,Saturday,9,18,2021,2021-09-18 07:00:53,49.0,7
8,370503,UREC,08:00:18,920,Saturday,9,18,2021,2021-09-18 08:00:18,66.0,8
9,431870,UREC,09:00:00,1451,Saturday,9,18,2021,2021-09-18 09:00:00,531.0,9
10,519477,UREC,10:00:00,3410,Saturday,9,18,2021,2021-09-18 10:00:00,1959.0,10
11,643094,UREC,11:00:00,6098,Saturday,9,18,2021,2021-09-18 11:00:00,2688.0,11
12,806770,UREC,12:00:02,9789,Saturday,9,18,2021,2021-09-18 12:00:02,3691.0,12
13,989953,UREC,13:00:01,13460,Saturday,9,18,2021,2021-09-18 13:00:01,3671.0,13
14,1178743,UREC,14:00:00,17766,Saturday,9,18,2021,2021-09-18 14:00:00,4306.0,14
15,1360482,UREC,15:00:00,22235,Saturday,9,18,2021,2021-09-18 15:00:00,4469.0,15
16,1528659,UREC,16:00:01,26719,Saturday,9,18,2021,2021-09-18 16:00:01,4484.0,16
17,1700819,UREC,17:00:00,31747,Saturday,9,18,2021,2021-09-18 17:00:00,5028.0,17
18,1887436,UREC,18:00:00,37154,Saturday,9,18,2021,2021-09-18 18:00:00,5407.0,18
19,2096334,UREC,19:00:00,42077,Saturday,9,18,2021,2021-09-18 19:00:00,4923.0,19
20,2323083,UREC,20:00:01,47360,Saturday,9,18,2021,2021-09-18 20:00:01,5283.0,20
21,2467444,UREC,21:00:00,51198,Saturday,9,18,2021,2021-09-18 21:00:00,3838.0,21
22,2563680,UREC,22:00:12,52122,Saturday,9,18,2021,2021-09-18 22:00:12,924.0,22
23,2644994,UREC,23:00:05,52435,Saturday,9,18,2021,2021-09-18 23:00:05,313.0,23
0,30,Stu,00:00:03,1,Saturday,9,18,2021,2021-09-18 00:00:03,0.0,0
1,40654,Stu,01:00:01,1152,Saturday,9,18,2021,2021-09-18 01:00:01,1151.0,1
2,99745,Stu,02:00:02,1949,Saturday,9,18,2021,2021-09-18 02:00:02,797.0,2
3,154620,Stu,03:00:01,2737,Saturday,9,18,2021,2021-09-18 03:00:01,788.0,3
4,199423,Stu,04:00:01,3067,Saturday,9,18,2021,2021-09-18 04:00:01,330.0,4
5,241420,Stu,05:00:02,3224,Saturday,9,18,2021,2021-09-18 05:00:02,157.0,5
6,283789,Stu,06:00:01,3734,Saturday,9,18,2021,2021-09-18 06:00:01,510.0,6
7,322074,Stu,07:00:18,3888,Saturday,9,18,2021,2021-09-18 07:00:18,154.0,7
8,370228,Stu,08:00:02,4068,Saturday,9,18,2021,2021-09-18 08:00:02,180.0,8
9,431876,Stu,09:00:00,4631,Saturday,9,18,2021,2021-09-18 09:00:00,563.0,9
10,519500,Stu,10:00:02,5598,Saturday,9,18,2021,2021-09-18 10:00:02,967.0,10
11,643107,Stu,11:00:00,7183,Saturday,9,18,2021,2021-09-18 11:00:00,1585.0,11
12,806761,Stu,12:00:01,9550,Saturday,9,18,2021,2021-09-18 12:00:01,2367.0,12
13,989920,Stu,13:00:00,12397,Saturday,9,18,2021,2021-09-18 13:00:00,2847.0,13
14,1178823,Stu,14:00:01,15536,Saturday,9,18,2021,2021-09-18 14:00:01,3139.0,14
15,1360495,Stu,15:00:00,18461,Saturday,9,18,2021,2021-09-18 15:00:00,2925.0,15
16,1528649,Stu,16:00:00,20845,Saturday,9,18,2021,2021-09-18 16:00:00,2384.0,16
17,1700874,Stu,17:00:02,24078,Saturday,9,18,2021,2021-09-18 17:00:02,3233.0,17
18,1887459,Stu,18:00:00,27253,Saturday,9,18,2021,2021-09-18 18:00:00,3175.0,18
19,2096359,Stu,19:00:00,30338,Saturday,9,18,2021,2021-09-18 19:00:00,3085.0,19
20,2323077,Stu,20:00:01,34025,Saturday,9,18,2021,2021-09-18 20:00:01,3687.0,20
21,2467450,Stu,21:00:00,36398,Saturday,9,18,2021,2021-09-18 21:00:00,2373.0,21
22,2563411,Stu,22:00:00,38298,Saturday,9,18,2021,2021-09-18 22:00:00,1900.0,22
23,2644890,Stu,23:00:00,40147,Saturday,9,18,2021,2021-09-18 23:00:00,1849.0,23
0,0,Atki,00:00:00,0,Saturday,9,18,2021,2021-09-18 00:00:00,0.0,0
1,40628,Atki,01:00:00,166,Saturday,9,18,2021,2021-09-18 01:00:00,166.0,1
2,99730,Atki,02:00:00,338,Saturday,9,18,2021,2021-09-18 02:00:00,172.0,2
3,154591,Atki,03:00:00,413,Saturday,9,18,2021,2021-09-18 03:00:00,75.0,3
4,199385,Atki,04:00:00,484,Saturday,9,18,2021,2021-09-18 04:00:00,71.0,4
5,283771,Atki,05:00:00,570,Saturday,9,18,2021,2021-09-18 05:00:00,86.0,5
6,321870,Atki,06:00:01,610,Saturday,9,18,2021,2021-09-18 06:00:01,40.0,6
7,321839,Atki,07:00:00,610,Saturday,9,18,2021,2021-09-18 07:00:00,0.0,7
8,370188,Atki,08:00:00,631,Saturday,9,18,2021,2021-09-18 08:00:00,21.0,8
9,431892,Atki,09:00:00,682,Saturday,9,18,2021,2021-09-18 09:00:00,51.0,9
