,index,building,time,device_count,day_name,month,day,year,timestamp,traffic_diff,index_hour
0,11,UREC,00:00:01,1,Monday,9,13,2021,2021-09-13 00:00:01,0.0,0
1,17204,UREC,01:00:41,189,Monday,9,13,2021,2021-09-13 01:00:41,188.0,1
2,56207,UREC,02:00:13,322,Monday,9,13,2021,2021-09-13 02:00:13,133.0,2
3,91864,UREC,03:00:00,425,Monday,9,13,2021,2021-09-13 03:00:00,103.0,3
4,127473,UREC,04:01:33,507,Monday,9,13,2021,2021-09-13 04:01:33,82.0,4
5,161848,UREC,05:00:03,658,Monday,9,13,2021,2021-09-13 05:00:03,151.0,5
6,202833,UREC,06:00:00,1036,Monday,9,13,2021,2021-09-13 06:00:00,378.0,6
7,269592,UREC,07:00:00,3218,Monday,9,13,2021,2021-09-13 07:00:00,2182.0,7
8,439471,UREC,08:00:00,8184,Monday,9,13,2021,2021-09-13 08:00:00,4966.0,8
9,734219,UREC,09:00:00,14963,Monday,9,13,2021,2021-09-13 09:00:00,6779.0,9
10,1232243,UREC,10:00:00,23460,Monday,9,13,2021,2021-09-13 10:00:00,8497.0,10
11,1901941,UREC,11:00:00,32066,Monday,9,13,2021,2021-09-13 11:00:00,8606.0,11
12,2762279,UREC,12:00:00,43173,Monday,9,13,2021,2021-09-13 12:00:00,11107.0,12
13,3765552,UREC,13:00:00,55271,Monday,9,13,2021,2021-09-13 13:00:00,12098.0,13
14,4718101,UREC,14:00:00,67736,Monday,9,13,2021,2021-09-13 14:00:00,12465.0,14
15,5645634,UREC,15:00:00,80244,Monday,9,13,2021,2021-09-13 15:00:00,12508.0,15
16,6448886,UREC,16:00:00,91555,Monday,9,13,2021,2021-09-13 16:00:00,11311.0,16
17,6971345,UREC,17:00:00,101471,Monday,9,13,2021,2021-09-13 17:00:00,9916.0,17
18,7770410,UREC,18:00:00,114855,Monday,9,13,2021,2021-09-13 18:00:00,13384.0,18
19,8391043,UREC,19:00:00,128098,Monday,9,13,2021,2021-09-13 19:00:00,13243.0,19
20,8939700,UREC,20:00:00,141326,Monday,9,13,2021,2021-09-13 20:00:00,13228.0,20
21,9321796,UREC,21:00:00,154497,Monday,9,13,2021,2021-09-13 21:00:00,13171.0,21
22,9546428,UREC,22:00:00,163846,Monday,9,13,2021,2021-09-13 22:00:00,9349.0,22
23,9696117,UREC,23:00:00,169593,Monday,9,13,2021,2021-09-13 23:00:00,5747.0,23
0,7,Stu,00:00:01,0,Monday,9,13,2021,2021-09-13 00:00:01,0.0,0
1,16853,Stu,01:00:08,505,Monday,9,13,2021,2021-09-13 01:00:08,505.0,1
2,56227,Stu,02:00:16,804,Monday,9,13,2021,2021-09-13 02:00:16,299.0,2
3,91869,Stu,03:00:01,975,Monday,9,13,2021,2021-09-13 03:00:01,171.0,3
4,126630,Stu,04:00:03,1082,Monday,9,13,2021,2021-09-13 04:00:03,107.0,4
