,index,building,time,device_count,day_name,month,day,year,timestamp,traffic_diff,index_hour
0,101,UREC,00:00:11,1,Tuesday,9,21,2021,2021-09-21 00:00:11,0.0,0
1,38521,UREC,01:00:08,250,Tuesday,9,21,2021,2021-09-21 01:00:08,249.0,1
2,95406,UREC,02:00:03,542,Tuesday,9,21,2021,2021-09-21 02:00:03,292.0,2
3,143521,UREC,03:00:02,629,Tuesday,9,21,2021,2021-09-21 03:00:02,87.0,3
4,190894,UREC,04:00:23,700,Tuesday,9,21,2021,2021-09-21 04:00:23,71.0,4
5,234392,UREC,05:00:09,752,Tuesday,9,21,2021,2021-09-21 05:00:09,52.0,5
6,287789,UREC,06:00:02,1121,Tuesday,9,21,2021,2021-09-21 06:00:02,369.0,6
7,385573,UREC,07:00:00,3795,Tuesday,9,21,2021,2021-09-21 07:00:00,2674.0,7
8,574219,UREC,08:00:00,8343,Tuesday,9,21,2021,2021-09-21 08:00:00,4548.0,8
9,1040901,UREC,09:00:00,15084,Tuesday,9,21,2021,2021-09-21 09:00:00,6741.0,9
10,1789088,UREC,10:00:00,23173,Tuesday,9,21,2021,2021-09-21 10:00:00,8089.0,10
11,2313164,UREC,11:00:00,29271,Tuesday,9,21,2021,2021-09-21 11:00:00,6098.0,11
12,3301871,UREC,12:00:00,39001,Tuesday,9,21,2021,2021-09-21 12:00:00,9730.0,12
13,4328928,UREC,13:00:00,50258,Tuesday,9,21,2021,2021-09-21 13:00:00,11257.0,13
14,5029682,UREC,14:00:00,59604,Tuesday,9,21,2021,2021-09-21 14:00:00,9346.0,14
15,6047061,UREC,15:00:01,72527,Tuesday,9,21,2021,2021-09-21 15:00:01,12923.0,15
16,6901996,UREC,16:00:00,85154,Tuesday,9,21,2021,2021-09-21 16:00:00,12627.0,16
17,7461239,UREC,17:00:00,97765,Tuesday,9,21,2021,2021-09-21 17:00:00,12611.0,17
18,8215500,UREC,18:00:00,113778,Tuesday,9,21,2021,2021-09-21 18:00:00,16013.0,18
19,8816594,UREC,19:00:00,128478,Tuesday,9,21,2021,2021-09-21 19:00:00,14700.0,19
20,9306157,UREC,20:00:00,140719,Tuesday,9,21,2021,2021-09-21 20:00:00,12241.0,20
21,9688412,UREC,21:00:00,154936,Tuesday,9,21,2021,2021-09-21 21:00:00,14217.0,21
22,9928516,UREC,22:00:00,165968,Tuesday,9,21,2021,2021-09-21 22:00:00,11032.0,22
23,10077717,UREC,23:00:00,171705,Tuesday,9,21,2021,2021-09-21 23:00:00,5737.0,23
0,33,Stu,00:00:03,1,Tuesday,9,21,2021,2021-09-21 00:00:03,0.0,0
1,38669,Stu,01:00:15,882,Tuesday,9,21,2021,2021-09-21 01:00:15,881.0,1
2,95479,Stu,02:00:08,1427,Tuesday,9,21,2021,2021-09-21 02:00:08,545.0,2
3,144380,Stu,03:01:15,1763,Tuesday,9,21,2021,2021-09-21 03:01:15,336.0,3
4,190736,Stu,04:00:10,1953,Tuesday,9,21,2021,2021-09-21 04:00:10,190.0,4
5,234808,Stu,05:00:42,2083,Tuesday,9,21,2021,2021-09-21 05:00:42,130.0,5
6,287733,Stu,06:00:00,2579,Tuesday,9,21,2021,2021-09-21 06:00:00,496.0,6
7,385615,Stu,07:00:01,3651,Tuesday,9,21,2021,2021-09-21 07:00:01,1072.0,7
8,574207,Stu,08:00:00,6974,Tuesday,9,21,2021,2021-09-21 08:00:00,3323.0,8
9,1040948,Stu,09:00:00,17316,Tuesday,9,21,2021,2021-09-21 09:00:00,10342.0,9
10,1789163,Stu,10:00:00,33489,Tuesday,9,21,2021,2021-09-21 10:00:00,16173.0,10
11,2313175,Stu,11:00:00,43843,Tuesday,9,21,2021,2021-09-21 11:00:00,10354.0,11
12,3301816,Stu,12:00:00,65516,Tuesday,9,21,2021,2021-09-21 12:00:00,21673.0,12
13,4328861,Stu,13:00:00,88808,Tuesday,9,21,2021,2021-09-21 13:00:00,23292.0,13
14,5029592,Stu,14:00:00,103771,Tuesday,9,21,2021,2021-09-21 14:00:00,14963.0,14
15,6046881,Stu,15:00:00,126697,Tuesday,9,21,2021,2021-09-21 15:00:00,22926.0,15
16,6901914,Stu,16:00:00,146458,Tuesday,9,21,2021,2021-09-21 16:00:00,19761.0,16
17,7461182,Stu,17:00:00,160046,Tuesday,9,21,2021,2021-09-21 17:00:00,13588.0,17
18,8215509,Stu,18:00:00,177169,Tuesday,9,21,2021,2021-09-21 18:00:00,17123.0,18
19,8816522,Stu,19:00:00,189882,Tuesday,9,21,2021,2021-09-21 19:00:00,12713.0,19
20,9306146,Stu,20:00:00,200130,Tuesday,9,21,2021,2021-09-21 20:00:00,10248.0,20
21,9688410,Stu,21:00:00,210309,Tuesday,9,21,2021,2021-09-21 21:00:00,10179.0,21
