,index,building,time,device_count,day_name,month,day,year,timestamp,traffic_diff,index_hour
0,2,UREC,00:00:01,1,Tuesday,9,7,2021,2021-09-07 00:00:01,0.0,0
1,30249,UREC,01:00:14,121,Tuesday,9,7,2021,2021-09-07 01:00:14,120.0,1
2,49222,UREC,02:00:34,210,Tuesday,9,7,2021,2021-09-07 02:00:34,89.0,2
3,63932,UREC,03:00:03,260,Tuesday,9,7,2021,2021-09-07 03:00:03,50.0,3
4,76700,UREC,04:00:15,336,Tuesday,9,7,2021,2021-09-07 04:00:15,76.0,4
5,91297,UREC,05:00:00,432,Tuesday,9,7,2021,2021-09-07 05:00:00,96.0,5
6,113097,UREC,06:00:03,791,Tuesday,9,7,2021,2021-09-07 06:00:03,359.0,6
7,173402,UREC,07:00:00,3054,Tuesday,9,7,2021,2021-09-07 07:00:00,2263.0,7
8,373454,UREC,08:00:00,7818,Tuesday,9,7,2021,2021-09-07 08:00:00,4764.0,8
9,872973,UREC,09:00:00,14822,Tuesday,9,7,2021,2021-09-07 09:00:00,7004.0,9
10,1753814,UREC,10:00:00,23970,Tuesday,9,7,2021,2021-09-07 10:00:00,9148.0,10
11,2303839,UREC,11:00:00,31359,Tuesday,9,7,2021,2021-09-07 11:00:00,7389.0,11
12,3482603,UREC,12:00:00,43399,Tuesday,9,7,2021,2021-09-07 12:00:00,12040.0,12
13,4720853,UREC,13:00:00,55411,Tuesday,9,7,2021,2021-09-07 13:00:00,12012.0,13
14,5517447,UREC,14:00:00,64841,Tuesday,9,7,2021,2021-09-07 14:00:00,9430.0,14
15,6719322,UREC,15:00:00,77357,Tuesday,9,7,2021,2021-09-07 15:00:00,12516.0,15
16,7714115,UREC,16:00:00,90071,Tuesday,9,7,2021,2021-09-07 16:00:00,12714.0,16
17,8332613,UREC,17:00:00,102795,Tuesday,9,7,2021,2021-09-07 17:00:00,12724.0,17
18,9213969,UREC,18:00:00,117559,Tuesday,9,7,2021,2021-09-07 18:00:00,14764.0,18
19,9829729,UREC,19:00:00,129562,Tuesday,9,7,2021,2021-09-07 19:00:00,12003.0,19
20,10408053,UREC,20:00:00,143124,Tuesday,9,7,2021,2021-09-07 20:00:00,13562.0,20
21,10847031,UREC,21:00:00,156306,Tuesday,9,7,2021,2021-09-07 21:00:00,13182.0,21
22,11121541,UREC,22:00:00,165641,Tuesday,9,7,2021,2021-09-07 22:00:00,9335.0,22
23,11304534,UREC,23:00:00,170886,Tuesday,9,7,2021,2021-09-07 23:00:00,5245.0,23
0,147,Stu,00:00:15,1,Tuesday,9,7,2021,2021-09-07 00:00:15,0.0,0
1,30208,Stu,01:00:06,376,Tuesday,9,7,2021,2021-09-07 01:00:06,375.0,1
2,49325,Stu,02:01:02,475,Tuesday,9,7,2021,2021-09-07 02:01:02,99.0,2
3,63985,Stu,03:00:12,641,Tuesday,9,7,2021,2021-09-07 03:00:12,166.0,3
4,76659,Stu,04:00:08,717,Tuesday,9,7,2021,2021-09-07 04:00:08,76.0,4
5,91551,Stu,05:00:47,758,Tuesday,9,7,2021,2021-09-07 05:00:47,41.0,5
6,113059,Stu,06:00:01,1008,Tuesday,9,7,2021,2021-09-07 06:00:01,250.0,6
7,173398,Stu,07:00:00,1794,Tuesday,9,7,2021,2021-09-07 07:00:00,786.0,7
8,373491,Stu,08:00:00,5570,Tuesday,9,7,2021,2021-09-07 08:00:00,3776.0,8
9,872953,Stu,09:00:00,16691,Tuesday,9,7,2021,2021-09-07 09:00:00,11121.0,9
10,1753665,Stu,10:00:00,35249,Tuesday,9,7,2021,2021-09-07 10:00:00,18558.0,10
11,2303779,Stu,11:00:00,46902,Tuesday,9,7,2021,2021-09-07 11:00:00,11653.0,11
12,3482619,Stu,12:00:00,71736,Tuesday,9,7,2021,2021-09-07 12:00:00,24834.0,12
13,4720891,Stu,13:00:00,98229,Tuesday,9,7,2021,2021-09-07 13:00:00,26493.0,13
14,5517418,Stu,14:00:00,115679,Tuesday,9,7,2021,2021-09-07 14:00:00,17450.0,14
