,index,building,time,device_count,day_name,month,day,year,timestamp,traffic_diff,index_hour
0,128,UREC,00:00:05,0,Saturday,9,25,2021,2021-09-25 00:00:05,0.0,0
1,52749,UREC,01:01:42,248,Saturday,9,25,2021,2021-09-25 01:01:42,248.0,1
2,111738,UREC,02:01:47,358,Saturday,9,25,2021,2021-09-25 02:01:47,110.0,2
3,157869,UREC,03:00:10,464,Saturday,9,25,2021,2021-09-25 03:00:10,106.0,3
4,202064,UREC,04:03:21,504,Saturday,9,25,2021,2021-09-25 04:03:21,40.0,4
5,239722,UREC,05:00:09,537,Saturday,9,25,2021,2021-09-25 05:00:09,33.0,5
6,276969,UREC,06:00:54,577,Saturday,9,25,2021,2021-09-25 06:00:54,40.0,6
7,314025,UREC,07:00:16,642,Saturday,9,25,2021,2021-09-25 07:00:16,65.0,7
8,358914,UREC,08:00:54,714,Saturday,9,25,2021,2021-09-25 08:00:54,72.0,8
9,411251,UREC,09:00:00,1094,Saturday,9,25,2021,2021-09-25 09:00:00,380.0,9
10,485386,UREC,10:00:00,2450,Saturday,9,25,2021,2021-09-25 10:00:00,1356.0,10
11,594000,UREC,11:00:00,4599,Saturday,9,25,2021,2021-09-25 11:00:00,2149.0,11
12,747428,UREC,12:00:00,7841,Saturday,9,25,2021,2021-09-25 12:00:00,3242.0,12
13,918241,UREC,13:00:00,11069,Saturday,9,25,2021,2021-09-25 13:00:00,3228.0,13
14,1103601,UREC,14:00:00,14187,Saturday,9,25,2021,2021-09-25 14:00:00,3118.0,14
15,1282501,UREC,15:00:01,18543,Saturday,9,25,2021,2021-09-25 15:00:01,4356.0,15
16,1440384,UREC,16:00:01,22287,Saturday,9,25,2021,2021-09-25 16:00:01,3744.0,16
17,1592405,UREC,17:00:00,26228,Saturday,9,25,2021,2021-09-25 17:00:00,3941.0,17
18,1765669,UREC,18:00:00,29968,Saturday,9,25,2021,2021-09-25 18:00:00,3740.0,18
19,1991981,UREC,19:00:00,34531,Saturday,9,25,2021,2021-09-25 19:00:00,4563.0,19
20,2216751,UREC,20:00:00,38692,Saturday,9,25,2021,2021-09-25 20:00:00,4161.0,20
21,2378078,UREC,21:00:00,42259,Saturday,9,25,2021,2021-09-25 21:00:00,3567.0,21
22,2483248,UREC,22:00:02,43074,Saturday,9,25,2021,2021-09-25 22:00:02,815.0,22
23,2559938,UREC,23:00:18,43389,Saturday,9,25,2021,2021-09-25 23:00:18,315.0,23
0,38,Stu,00:00:02,0,Saturday,9,25,2021,2021-09-25 00:00:02,0.0,0
1,50907,Stu,01:00:01,1555,Saturday,9,25,2021,2021-09-25 01:00:01,1555.0,1
2,110080,Stu,02:00:03,2604,Saturday,9,25,2021,2021-09-25 02:00:03,1049.0,2
3,157847,Stu,03:00:10,3147,Saturday,9,25,2021,2021-09-25 03:00:10,543.0,3
4,200849,Stu,04:01:26,3513,Saturday,9,25,2021,2021-09-25 04:01:26,366.0,4
5,239813,Stu,05:00:19,3620,Saturday,9,25,2021,2021-09-25 05:00:19,107.0,5
6,277228,Stu,06:01:22,3701,Saturday,9,25,2021,2021-09-25 06:01:22,81.0,6
7,313965,Stu,07:00:09,3793,Saturday,9,25,2021,2021-09-25 07:00:09,92.0,7
8,358185,Stu,08:00:05,4065,Saturday,9,25,2021,2021-09-25 08:00:05,272.0,8
9,411302,Stu,09:00:02,4349,Saturday,9,25,2021,2021-09-25 09:00:02,284.0,9
10,485493,Stu,10:00:04,5258,Saturday,9,25,2021,2021-09-25 10:00:04,909.0,10
11,594008,Stu,11:00:00,7098,Saturday,9,25,2021,2021-09-25 11:00:00,1840.0,11
12,747420,Stu,12:00:00,9523,Saturday,9,25,2021,2021-09-25 12:00:00,2425.0,12
13,918252,Stu,13:00:00,12793,Saturday,9,25,2021,2021-09-25 13:00:00,3270.0,13
14,1103620,Stu,14:00:00,16151,Saturday,9,25,2021,2021-09-25 14:00:00,3358.0,14
15,1282475,Stu,15:00:01,19164,Saturday,9,25,2021,2021-09-25 15:00:01,3013.0,15
16,1440352,Stu,16:00:00,21724,Saturday,9,25,2021,2021-09-25 16:00:00,2560.0,16
17,1592390,Stu,17:00:00,24566,Saturday,9,25,2021,2021-09-25 17:00:00,2842.0,17
18,1765731,Stu,18:00:01,27414,Saturday,9,25,2021,2021-09-25 18:00:01,2848.0,18
19,1991946,Stu,19:00:00,31224,Saturday,9,25,2021,2021-09-25 19:00:00,3810.0,19
20,2216732,Stu,20:00:00,34955,Saturday,9,25,2021,2021-09-25 20:00:00,3731.0,20
21,2378111,Stu,21:00:01,37845,Saturday,9,25,2021,2021-09-25 21:00:01,2890.0,21
22,2483271,Stu,22:00:03,39920,Saturday,9,25,2021,2021-09-25 22:00:03,2075.0,22
23,2559631,Stu,23:00:01,41532,Saturday,9,25,2021,2021-09-25 23:00:01,1612.0,23
0,0,Atki,00:00:00,0,Saturday,9,25,2021,2021-09-25 00:00:00,0.0,0
1,50882,Atki,01:00:00,856,Saturday,9,25,2021,2021-09-25 01:00:00,856.0,1
2,110058,Atki,02:00:00,1119,Saturday,9,25,2021,2021-09-25 02:00:00,263.0,2
3,157719,Atki,03:00:01,1163,Saturday,9,25,2021,2021-09-25 03:00:01,44.0,3
4,200067,Atki,04:00:00,1187,Saturday,9,25,2021,2021-09-25 04:00:00,24.0,4
5,276416,Atki,05:00:00,1210,Saturday,9,25,2021,2021-09-25 05:00:00,23.0,5
6,313880,Atki,06:00:00,1224,Saturday,9,25,2021,2021-09-25 06:00:00,14.0,6
7,313839,Atki,07:00:00,1224,Saturday,9,25,2021,2021-09-25 07:00:00,0.0,7
8,358085,Atki,08:00:00,1232,Saturday,9,25,2021,2021-09-25 08:00:00,8.0,8
9,411266,Atki,09:00:00,1245,Saturday,9,25,2021,2021-09-25 09:00:00,13.0,9
10,485396,Atki,10:00:01,1468,Saturday,9,25,2021,2021-09-25 10:00:01,223.0,10
11,593996,Atki,11:00:00,1731,Saturday,9,25,2021,2021-09-25 11:00:00,263.0,11
12,747447,Atki,12:00:00,2139,Saturday,9,25,2021,2021-09-25 12:00:00,408.0,12
13,918247,Atki,13:00:00,2804,Saturday,9,25,2021,2021-09-25 13:00:00,665.0,13
14,1103634,Atki,14:00:00,3284,Saturday,9,25,2021,2021-09-25 14:00:00,480.0,14
15,1282438,Atki,15:00:00,3857,Saturday,9,25,2021,2021-09-25 15:00:00,573.0,15
16,1440340,Atki,16:00:00,4351,Saturday,9,25,2021,2021-09-25 16:00:00,494.0,16
17,1592432,Atki,17:00:00,4837,Saturday,9,25,2021,2021-09-25 17:00:00,486.0,17
18,1765684,Atki,18:00:00,5354,Saturday,9,25,2021,2021-09-25 18:00:00,517.0,18
19,1991966,Atki,19:00:00,6117,Saturday,9,25,2021,2021-09-25 19:00:00,763.0,19
20,2216748,Atki,20:00:00,6975,Saturday,9,25,2021,2021-09-25 20:00:00,858.0,20
21,2378083,Atki,21:00:00,7289,Saturday,9,25,2021,2021-09-25 21:00:00,314.0,21
22,2483189,Atki,22:00:00,7631,Saturday,9,25,2021,2021-09-25 22:00:00,342.0,22
23,2559637,Atki,23:00:02,7967,Saturday,9,25,2021,2021-09-25 23:00:02,336.0,23
0,104,Wood,00:00:05,1,Saturday,9,25,2021,2021-09-25 00:00:05,0.0,0
1,50941,Wood,01:00:02,220,Saturday,9,25,2021,2021-09-25 01:00:02,219.0,1
2,110276,Wood,02:00:14,343,Saturday,9,25,2021,2021-09-25 02:00:14,123.0,2
3,157773,Wood,03:00:04,487,Saturday,9,25,2021,2021-09-25 03:00:04,144.0,3
4,200421,Wood,04:00:37,571,Saturday,9,25,2021,2021-09-25 04:00:37,84.0,4
5,239633,Wood,05:00:01,746,Saturday,9,25,2021,2021-09-25 05:00:01,175.0,5
6,276483,Wood,06:00:07,921,Saturday,9,25,2021,2021-09-25 06:00:07,175.0,6
7,314193,Wood,07:00:27,1044,Saturday,9,25,2021,2021-09-25 07:00:27,123.0,7
8,358141,Wood,08:00:03,1157,Saturday,9,25,2021,2021-09-25 08:00:03,113.0,8
9,411670,Wood,09:00:23,1322,Saturday,9,25,2021,2021-09-25 09:00:23,165.0,9
10,485392,Wood,10:00:00,1592,Saturday,9,25,2021,2021-09-25 10:00:00,270.0,10
11,594004,Wood,11:00:00,1974,Saturday,9,25,2021,2021-09-25 11:00:00,382.0,11
12,747473,Wood,12:00:00,2519,Saturday,9,25,2021,2021-09-25 12:00:00,545.0,12
13,919054,Wood,13:00:18,3043,Saturday,9,25,2021,2021-09-25 13:00:18,524.0,13
14,1104261,Wood,14:00:14,3601,Saturday,9,25,2021,2021-09-25 14:00:14,558.0,14
15,1282449,Wood,15:00:00,4102,Saturday,9,25,2021,2021-09-25 15:00:00,501.0,15
16,1440450,Wood,16:00:04,4502,Saturday,9,25,2021,2021-09-25 16:00:04,400.0,16
17,1592445,Wood,17:00:00,5145,Saturday,9,25,2021,2021-09-25 17:00:00,643.0,17
18,1766021,Wood,18:00:06,5807,Saturday,9,25,2021,2021-09-25 18:00:06,662.0,18
19,1992080,Wood,19:00:02,6629,Saturday,9,25,2021,2021-09-25 19:00:02,822.0,19
20,2217020,Wood,20:00:05,7220,Saturday,9,25,2021,2021-09-25 20:00:05,591.0,20
21,2378077,Wood,21:00:00,7836,Saturday,9,25,2021,2021-09-25 21:00:00,616.0,21
22,2483273,Wood,22:00:03,8396,Saturday,9,25,2021,2021-09-25 22:00:03,560.0,22
23,2559894,Wood,23:00:16,8795,Saturday,9,25,2021,2021-09-25 23:00:16,399.0,23
0,72,SVDH,00:00:04,1,Saturday,9,25,2021,2021-09-25 00:00:04,0.0,0
1,51030,SVDH,01:00:06,249,Saturday,9,25,2021,2021-09-25 01:00:06,248.0,1
2,110582,SVDH,02:00:39,414,Saturday,9,25,2021,2021-09-25 02:00:39,165.0,2
3,160962,SVDH,03:03:50,519,Saturday,9,25,2021,2021-09-25 03:03:50,105.0,3
4,200776,SVDH,04:01:17,571,Saturday,9,25,2021,2021-09-25 04:01:17,52.0,4
5,245371,SVDH,05:09:04,580,Saturday,9,25,2021,2021-09-25 05:09:04,9.0,5
6,300700,SVDH,06:40:02,607,Saturday,9,25,2021,2021-09-25 06:40:02,27.0,6
7,313849,SVDH,07:00:00,619,Saturday,9,25,2021,2021-09-25 07:00:00,12.0,7
8,358242,SVDH,08:00:10,824,Saturday,9,25,2021,2021-09-25 08:00:10,205.0,8
9,411310,SVDH,09:00:02,1209,Saturday,9,25,2021,2021-09-25 09:00:02,385.0,9
10,485480,SVDH,10:00:03,1674,Saturday,9,25,2021,2021-09-25 10:00:03,465.0,10
11,594022,SVDH,11:00:01,3822,Saturday,9,25,2021,2021-09-25 11:00:01,2148.0,11
12,747438,SVDH,12:00:00,8353,Saturday,9,25,2021,2021-09-25 12:00:00,4531.0,12
13,918232,SVDH,13:00:00,13361,Saturday,9,25,2021,2021-09-25 13:00:00,5008.0,13
14,1103628,SVDH,14:00:00,19401,Saturday,9,25,2021,2021-09-25 14:00:00,6040.0,14
15,1282466,SVDH,15:00:01,23648,Saturday,9,25,2021,2021-09-25 15:00:01,4247.0,15
16,1440449,SVDH,16:00:03,27090,Saturday,9,25,2021,2021-09-25 16:00:03,3442.0,16
17,1592600,SVDH,17:00:02,30036,Saturday,9,25,2021,2021-09-25 17:00:02,2946.0,17
18,1765709,SVDH,18:00:00,34762,Saturday,9,25,2021,2021-09-25 18:00:00,4726.0,18
19,1991999,SVDH,19:00:01,42379,Saturday,9,25,2021,2021-09-25 19:00:01,7617.0,19
20,2216767,SVDH,20:00:00,50277,Saturday,9,25,2021,2021-09-25 20:00:00,7898.0,20
21,2378062,SVDH,21:00:00,53308,Saturday,9,25,2021,2021-09-25 21:00:00,3031.0,21
22,2483344,SVDH,22:00:06,54217,Saturday,9,25,2021,2021-09-25 22:00:06,909.0,22
23,2560124,SVDH,23:00:25,54468,Saturday,9,25,2021,2021-09-25 23:00:25,251.0,23
0,4903,Pros,00:04:50,0,Saturday,9,25,2021,2021-09-25 00:04:50,0.0,0
1,67758,Pros,01:13:51,10,Saturday,9,25,2021,2021-09-25 01:13:51,10.0,1
2,115288,Pros,02:05:39,27,Saturday,9,25,2021,2021-09-25 02:05:39,17.0,2
3,157866,Pros,03:00:10,51,Saturday,9,25,2021,2021-09-25 03:00:10,24.0,3
4,200643,Pros,04:01:03,79,Saturday,9,25,2021,2021-09-25 04:01:03,28.0,4
5,240623,Pros,05:01:33,79,Saturday,9,25,2021,2021-09-25 05:01:33,0.0,5
6,277603,Pros,06:02:04,79,Saturday,9,25,2021,2021-09-25 06:02:04,0.0,6
7,314852,Pros,07:01:15,81,Saturday,9,25,2021,2021-09-25 07:01:15,2.0,7
8,360771,Pros,08:03:04,82,Saturday,9,25,2021,2021-09-25 08:03:04,1.0,8
9,415597,Pros,09:03:49,102,Saturday,9,25,2021,2021-09-25 09:03:49,20.0,9
10,485461,Pros,10:00:03,132,Saturday,9,25,2021,2021-09-25 10:00:03,30.0,10
11,606726,Pros,11:04:50,170,Saturday,9,25,2021,2021-09-25 11:04:50,38.0,11
12,749801,Pros,12:01:03,227,Saturday,9,25,2021,2021-09-25 12:01:03,57.0,12
13,918611,Pros,13:00:07,298,Saturday,9,25,2021,2021-09-25 13:00:07,71.0,13
14,1103782,Pros,14:00:04,468,Saturday,9,25,2021,2021-09-25 14:00:04,170.0,14
15,1283466,Pros,15:00:24,566,Saturday,9,25,2021,2021-09-25 15:00:24,98.0,15
16,1441164,Pros,16:00:20,693,Saturday,9,25,2021,2021-09-25 16:00:20,127.0,16
17,1596552,Pros,17:01:37,772,Saturday,9,25,2021,2021-09-25 17:01:37,79.0,17
18,1774840,Pros,18:02:40,898,Saturday,9,25,2021,2021-09-25 18:02:40,126.0,18
19,2000293,Pros,19:01:58,989,Saturday,9,25,2021,2021-09-25 19:01:58,91.0,19
